GameID;Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Skor Game;Kill;Death;Assist;Duration;Map;Stage
MSC26_GA_M03_G2;22/07/2026;Red;Win;Finn;Roamer;Chou;Zhuxin;Flicker;Team Vitality;True Rippers;2 - 0;1;6;14;21:58;Dangerous Grass;Group A
MSC26_GA_M03_G2;22/07/2026;Blue;Lose;Rehansyah;Explane;Uranus;Marcel;Purify;True Rippers;Team Vitality;0 - 2;4;4;11;21:58;Dangerous Grass;Group A
MSC26_GA_M03_G2;22/07/2026;Blue;Lose;IYanZz;Jungler;Yi Sunshin;Valentina;Retribution;True Rippers;Team Vitality;0 - 2;5;7;13;21:58;Dangerous Grass;Group A
MSC26_GA_M03_G2;22/07/2026;Blue;Lose;Asuna;Midlane;Gord;Ling;Flicker;True Rippers;Team Vitality;0 - 2;5;6;9;21:58;Dangerous Grass;Group A
MSC26_GA_M03_G2;22/07/2026;Blue;Lose;Garcia;Goldlane;Moskov;Claude;Purify;True Rippers;Team Vitality;0 - 2;6;0;10;21:58;Dangerous Grass;Group A
MSC26_GA_M03_G2;22/07/2026;Blue;Lose;Kimyy;Roamer;Atlas;Karrie;Flicker;True Rippers;Team Vitality;0 - 2;0;9;15;21:58;Dangerous Grass;Group A
MSC26_GA_M04_G1;22/07/2026;Blue;Win;Kid Bomba;Explane;Esmeralda;Phoveus;Flicker;Team Spirit;IGNITE Gaming;1 - 0;1;1;6;13:13;Flying Clouds;Group A
MSC26_GA_M04_G1;22/07/2026;Blue;Win;zaur egoist;Jungler;Ling;Atlas;Retribution;Team Spirit;IGNITE Gaming;1 - 0;6;0;3;13:13;Flying Clouds;Group A
MSC26_GA_M04_G1;22/07/2026;Blue;Win;Sunset Lover;Midlane;Zhuxin;Eudora;Purify;Team Spirit;IGNITE Gaming;1 - 0;1;0;7;13:13;Flying Clouds;Group A
MSC26_GA_M04_G1;22/07/2026;Blue;Win;Hiko;Goldlane;Paquito;Melissa;Flicker;Team Spirit;IGNITE Gaming;1 - 0;2;0;5;13:13;Flying Clouds;Group A
MSC26_GA_M04_G1;22/07/2026;Blue;Win;Sawo;Roamer;Minotaur;Brody;Flicker;Team Spirit;IGNITE Gaming;1 - 0;0;1;7;13:13;Flying Clouds;Group A
MSC26_GA_M04_G1;22/07/2026;Red;Lose;Diablo;Explane;Uranus;Freya;Flicker;IGNITE Gaming;Team Spirit;0 - 1;1;4;1;13:13;Flying Clouds;Group A
MSC26_GA_M04_G1;22/07/2026;Red;Lose;Kelvin;Jungler;Suyou;Fanny;Retribution;IGNITE Gaming;Team Spirit;0 - 1;1;2;1;13:13;Flying Clouds;Group A
